time,I
0.031766,26.16
0.132958,26.16
0.234280,26.16
0.335027,26.16
0.435454,26.16
0.537273,26.16
0.637874,25.19
0.738813,25.19
0.839997,26.16
0.940757,26.16
1.041570,26.16
1.143290,26.16
1.243603,26.16
1.344419,25.19
1.445437,26.16
1.546756,26.16
1.648475,25.19
1.749640,25.19
1.851067,25.19
1.951695,26.16
2.053210,26.16
2.154895,26.16
2.255721,25.19
2.357011,25.19
2.457630,25.19
2.558960,26.16
2.660317,25.19
2.761429,25.19
2.862535,26.16
2.970933,25.19
3.071572,25.19
3.173017,25.19
3.273543,26.16
3.375482,26.16
3.477337,25.19
3.577353,26.16
3.678473,26.16
3.780612,26.16
3.882381,25.19
3.983643,25.19
4.084463,26.16
4.186070,26.16
4.287552,26.16
4.389396,26.16
4.489784,26.16
4.591177,26.16
4.692457,26.16
4.793392,26.16
4.895204,26.16
4.996739,26.16
5.097601,25.19
5.199063,25.19
5.300535,25.19
5.403885,26.16
5.506001,25.19
5.606753,25.19
5.707822,26.16
5.809200,25.19
5.910277,25.19
6.010809,26.16
6.111224,25.19
6.211742,25.19
6.312808,25.19
6.413949,26.16
6.515023,26.16
6.616263,26.16
6.717196,25.19
6.817774,25.19
6.919627,25.19
7.020638,26.16
7.122281,26.16
7.224256,26.16
7.325476,26.16
7.427307,26.16
7.529409,25.19
7.630234,25.19
7.731091,25.19
7.832476,25.19
7.934122,26.16
8.035346,26.16
8.137080,26.16
8.237562,26.16
8.339007,26.16
8.439193,26.16
8.540075,26.16
8.640683,25.19
8.741533,25.19
8.842967,25.19
8.959659,26.16
9.060657,26.16
9.163048,26.16
9.264631,25.19
9.366291,25.19
9.468399,26.16
9.569031,26.16
9.669559,26.16
9.771468,26.16
9.873508,26.16
9.974536,26.16
10.075232,26.16
10.176879,26.16
10.278531,26.16
10.380628,26.16
