time,I
0.069553,18.41
0.180898,18.41
0.281636,18.41
0.383302,17.44
0.485010,17.44
0.586038,17.44
0.687615,17.44
0.788251,17.44
0.889093,17.44
0.990019,17.44
1.090337,18.41
1.192377,18.41
1.293134,17.44
1.393430,18.41
1.494354,18.41
1.596083,18.41
1.697638,18.41
1.798678,18.41
1.900345,18.41
2.001373,17.44
2.115801,18.41
2.216550,18.41
2.318224,18.41
2.419017,18.41
2.521244,18.41
2.623124,18.41
2.725488,17.44
2.827262,17.44
2.928810,18.41
3.029842,18.41
3.131380,18.41
3.232220,18.41
3.333083,18.41
3.434782,18.41
3.535615,18.41
3.636737,18.41
3.738041,18.41
3.839808,17.44
3.941016,18.41
4.041414,18.41
4.143064,17.44
4.244151,18.41
4.344988,18.41
4.445382,18.41
4.547190,17.44
4.648634,17.44
4.749769,17.44
4.850605,18.41
4.963853,17.44
5.065149,17.44
5.166649,18.41
5.267866,18.41
5.368630,18.41
5.469623,18.41
5.572467,17.44
5.674192,17.44
5.775944,18.41
5.876644,18.41
5.978135,18.41
6.081261,17.44
6.183047,17.44
6.283456,17.44
6.384184,18.41
6.485990,18.41
6.586708,18.41
6.688314,18.41
6.790104,18.41
6.892488,18.41
6.993897,18.41
7.095931,18.41
7.197025,17.44
7.299622,17.44
7.400937,17.44
7.501640,17.44
7.603474,17.44
7.704783,18.41
7.818291,17.44
7.919875,17.44
8.020737,18.41
8.122803,18.41
8.223694,18.41
8.324370,18.41
8.425770,18.41
8.526541,18.41
8.628590,18.41
8.730202,18.41
8.830379,18.41
8.931299,18.41
9.031903,17.44
9.133067,17.44
9.233877,18.41
9.334738,18.41
9.436243,18.41
9.537840,18.41
9.638770,18.41
9.740621,18.41
9.841864,18.41
9.943310,18.41
10.045372,18.41
10.145504,18.41
10.246387,18.41
10.347038,18.41
