time,I
0.020245,69.77
0.121433,69.77
0.222215,69.77
0.323745,69.77
0.424124,69.77
0.529186,69.77
0.630113,68.80
0.732199,69.77
0.834273,68.80
0.937501,68.80
1.038676,69.77
1.140623,69.77
1.241872,69.77
1.343220,69.77
1.445399,69.77
1.548458,69.77
1.649676,69.77
1.751633,69.77
1.853533,69.77
1.956171,69.77
2.058488,69.77
2.159433,69.77
2.260314,69.77
2.361116,68.80
2.463219,68.80
2.564356,69.77
2.665463,69.77
2.766076,69.77
2.867161,69.77
2.968506,69.77
3.069626,69.77
3.170929,68.80
3.270962,69.77
3.371498,69.77
3.473476,69.77
3.574686,69.77
3.675958,69.77
3.777560,69.77
3.880367,69.77
3.981270,69.77
4.083729,69.77
4.186385,69.77
4.287593,68.80
4.389373,68.80
4.491093,69.77
4.592602,69.77
4.694521,69.77
4.796484,69.77
4.898814,69.77
5.001246,69.77
5.104059,69.77
5.206100,69.77
5.307014,69.77
5.409052,68.80
5.509679,69.77
5.610710,69.77
5.712795,69.77
5.813944,68.80
5.916489,68.80
6.018179,69.77
6.121459,69.77
6.222676,69.77
6.323570,69.77
6.425456,69.77
6.528730,69.77
6.631490,69.77
6.733473,69.77
6.834675,69.77
6.937214,69.77
7.038656,68.80
7.139643,69.77
7.241652,69.77
7.342696,69.77
7.443168,69.77
7.545504,69.77
7.647141,69.77
7.749325,69.77
7.852406,69.77
7.955076,69.77
8.057108,69.77
8.158392,69.77
8.259289,68.80
8.360782,69.77
8.462747,69.77
8.564234,68.80
8.665613,69.77
8.766666,69.77
8.868851,69.77
8.971501,69.77
9.073722,69.77
9.175384,69.77
9.277491,69.77
9.378652,69.77
9.480903,69.77
9.583240,69.77
9.684440,69.77
9.786166,69.77
9.887422,69.77
9.989133,69.77
10.089793,69.77
