time,I
0.002654,12.60
0.103949,11.63
0.204846,12.60
0.306099,12.60
0.406697,11.63
0.507763,11.63
0.608159,11.63
0.709036,11.63
0.809930,11.63
0.911255,11.63
1.012371,12.60
1.112884,12.60
1.213508,12.60
1.313784,12.60
1.414753,11.63
1.519027,12.60
1.620299,12.60
1.721314,12.60
1.822464,12.60
1.922996,12.60
2.023938,12.60
2.124985,12.60
2.226035,12.60
2.327090,12.60
2.429523,12.60
2.532112,12.60
2.633295,12.60
2.733880,12.60
2.836558,12.60
2.938339,12.60
3.039839,12.60
3.140767,12.60
3.242325,12.60
3.343318,12.60
3.443854,12.60
3.544868,12.60
3.646174,12.60
3.747378,12.60
3.847882,12.60
3.949449,12.60
4.050606,12.60
4.152222,11.63
4.253324,11.63
4.354574,11.63
4.455574,12.60
4.557144,12.60
4.658088,12.60
4.758958,12.60
4.860186,12.60
4.960363,12.60
5.060179,11.63
5.160417,12.60
5.261221,12.60
5.361418,11.63
5.461878,12.60
5.562693,12.60
5.664428,12.60
5.764688,12.60
5.865802,11.63
5.967158,11.63
6.068221,12.60
6.168580,11.63
6.270030,11.63
6.370917,11.63
6.472527,11.63
6.574687,11.63
6.675724,11.63
6.777033,12.60
6.879998,12.60
6.981320,12.60
7.082195,12.60
7.183345,12.60
7.284805,12.60
7.386410,12.60
7.487432,12.60
7.589054,12.60
7.690131,12.60
7.791890,12.60
7.892904,12.60
7.994878,12.60
8.096572,12.60
8.197538,12.60
8.298795,12.60
8.400086,12.60
8.501454,12.60
8.602419,12.60
8.702663,12.60
8.803728,11.63
8.905324,12.60
9.005642,12.60
9.106592,12.60
9.208141,11.63
9.310693,11.63
9.411796,11.63
9.512614,12.60
9.614870,12.60
9.716156,11.63
9.816583,12.60
9.918310,12.60
10.019772,12.60
10.121253,11.63
10.222106,11.63
10.322705,11.63
10.423697,12.60
10.525013,11.63
