time,I
0.038195,16.47
0.139748,16.47
0.240957,16.47
0.342468,16.47
0.443470,16.47
0.544079,16.47
0.645062,16.47
0.746095,16.47
0.846564,16.47
0.948446,16.47
1.049650,16.47
1.151439,16.47
1.252561,16.47
1.353388,16.47
1.454545,17.44
1.554906,17.44
1.655668,16.47
1.757524,16.47
1.859977,16.47
1.961610,16.47
2.062950,16.47
2.165844,16.47
2.267654,16.47
2.368786,17.44
2.469488,17.44
2.570746,16.47
2.670768,17.44
2.771805,17.44
2.872476,17.44
2.975311,17.44
3.076811,17.44
3.177536,16.47
3.280230,17.44
3.381732,17.44
3.483362,17.44
3.585028,17.44
3.687682,17.44
3.788839,17.44
3.889310,16.47
3.990296,16.47
4.092159,16.47
4.193514,17.44
4.296030,17.44
4.399137,17.44
4.500810,17.44
4.605434,16.47
4.707196,16.47
4.808994,16.47
4.909921,17.44
5.011728,17.44
5.112526,17.44
5.215040,17.44
5.316990,17.44
5.418980,16.47
5.521966,16.47
5.623406,16.47
5.724493,17.44
5.825226,17.44
5.927662,17.44
6.030059,16.47
6.131884,17.44
6.234761,17.44
6.336272,17.44
6.438767,17.44
6.539720,17.44
6.640335,17.44
6.741776,16.47
6.843122,16.47
6.944156,16.47
7.046992,16.47
7.149031,16.47
7.251282,16.47
7.352638,16.47
7.454682,16.47
7.556032,16.47
7.657663,16.47
7.759290,16.47
7.862329,16.47
7.964095,16.47
8.067127,16.47
8.168550,16.47
8.269896,16.47
8.371472,16.47
8.472703,16.47
8.573433,16.47
8.674602,16.47
8.775730,16.47
8.876666,16.47
8.977534,16.47
9.079318,16.47
9.180277,15.50
9.282809,15.50
9.383973,15.50
9.487228,15.50
9.588180,16.47
9.689997,16.47
9.791508,16.47
9.893393,16.47
9.994411,16.47
10.095381,16.47
