time,I
0.043046,45.54
0.142960,45.54
0.242945,45.54
0.342952,45.54
0.443392,45.54
0.544438,45.54
0.646157,44.57
0.747882,44.57
0.847811,45.54
0.948942,44.57
1.049842,44.57
1.151106,45.54
1.252417,44.57
1.352664,45.54
1.454364,45.54
1.556155,45.54
1.672061,44.57
1.772481,44.57
1.873401,45.54
1.975942,45.54
2.076889,45.54
2.177684,44.57
2.280461,44.57
2.381709,44.57
2.483203,45.54
2.585030,45.54
2.686460,45.54
2.788048,44.57
2.889882,45.54
2.991033,45.54
3.091493,45.54
3.192957,45.54
3.293631,45.54
3.394391,45.54
3.495897,44.57
3.598283,44.57
3.700116,45.54
3.801296,45.54
3.902351,44.57
4.003701,44.57
4.105237,45.54
4.207011,45.54
4.308031,45.54
4.408443,45.54
4.509460,45.54
4.610242,45.54
4.712415,45.54
4.822225,44.57
4.924504,44.57
5.026165,45.54
5.128178,45.54
5.229745,45.54
5.330442,45.54
5.431828,45.54
5.533478,45.54
5.634515,45.54
5.735183,44.57
5.836988,44.57
5.938680,44.57
6.039082,45.54
6.139107,45.54
6.239307,45.54
6.339994,44.57
6.440555,44.57
6.540859,45.54
6.640897,45.54
6.741518,45.54
6.842521,45.54
6.943511,44.57
7.044104,44.57
7.144207,45.54
7.246042,45.54
7.346099,45.54
7.446504,45.54
7.547858,45.54
7.648408,45.54
7.749790,44.57
7.849869,45.54
7.950446,45.54
8.051497,45.54
8.151974,44.57
8.251719,45.54
8.352810,45.54
8.453200,45.54
8.554988,45.54
8.655900,45.54
8.756625,44.57
8.857225,44.57
8.958537,44.57
9.059240,45.54
9.174669,44.57
9.275368,44.57
9.376646,45.54
9.477679,45.54
9.578885,45.54
9.680715,45.54
9.781786,45.54
9.882937,45.54
9.985301,45.54
10.086085,44.57
10.188124,44.57
10.290742,45.54
10.391640,44.57
10.493080,44.57
