time,I
0.081039,44.57
0.182005,44.57
0.283049,44.57
0.383878,45.54
0.485833,45.54
0.586954,44.57
0.688339,44.57
0.789834,44.57
0.891688,44.57
0.993534,44.57
1.094302,44.57
1.195013,44.57
1.303274,45.54
1.404712,45.54
1.505994,44.57
1.607990,45.54
1.709953,45.54
1.812050,45.54
1.912992,44.57
2.014979,44.57
2.116500,44.57
2.217963,44.57
2.319302,44.57
2.421322,44.57
2.521865,45.54
2.622493,45.54
2.723493,45.54
2.823955,44.57
2.925405,44.57
3.026636,44.57
3.127386,45.54
3.228170,45.54
3.329909,45.54
3.431813,44.57
3.532709,44.57
3.633516,44.57
3.734625,44.57
3.835504,44.57
3.936753,44.57
4.037866,45.54
4.152091,44.57
4.253146,44.57
4.354700,45.54
4.455545,45.54
4.556732,45.54
4.656681,45.54
4.757389,44.57
4.858224,44.57
4.959748,44.57
5.059961,45.54
5.162557,45.54
5.262941,44.57
5.364911,44.57
5.466952,44.57
5.568007,45.54
5.669428,44.57
5.771120,44.57
5.872804,44.57
5.974057,45.54
6.075149,44.57
6.176868,44.57
6.278151,45.54
6.378907,44.57
6.480471,44.57
6.580911,44.57
6.682398,44.57
6.783260,44.57
6.884692,44.57
6.985444,44.57
7.087339,44.57
7.188505,44.57
7.288942,44.57
7.390673,44.57
7.491659,44.57
7.592485,44.57
7.693854,44.57
7.794494,44.57
7.895572,44.57
7.995950,44.57
8.097196,45.54
8.204979,44.57
8.306280,44.57
8.407100,45.54
8.507689,44.57
8.608699,44.57
8.711250,44.57
8.812643,45.54
8.914308,45.54
9.015653,44.57
9.117196,44.57
9.218044,44.57
9.319658,44.57
9.421081,44.57
9.522430,44.57
9.623407,44.57
9.723761,44.57
9.825973,44.57
9.927292,44.57
10.028207,44.57
10.128882,44.57
10.230648,44.57
10.332022,44.57
10.433882,44.57
10.535884,44.57
10.638022,44.57
